CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
CENCOSUD.xlsx;1001976;MARSHMALLOW ROCKY MOUNTAIN CL SICOS 300G;ROCKY MOUNTAIN;T106;Wong Chacarilla;WONG;1;0;WONG CHACARILLA
CENCOSUD.xlsx;1001975;MARSHMALLOW ROCKY MOUNTAIN CL SICOS 150G;ROCKY MOUNTAIN;S037;Supermercado Metro Balta - Chi;METRO;5;13;METRO BALTA   CHI
CENCOSUD.xlsx;4933;SAZONADOR X 3.5 OZ.''BADIA'';BADIA;T117;Wong California;WONG;11;33;WONG CALIFORNIA
CENCOSUD.xlsx;157003;ACHIOTE MOLIDO X 2.75 OZ BADIA;BADIA;T117;Wong California;WONG;1;14;WONG CALIFORNIA
CENCOSUD.xlsx;1016321;VINAGRE BALS MICO GLAZE COLAVITA 250ML;COLAVITA;T132;Wong KM40;WONG;1;27;WONG KM40
CENCOSUD.xlsx;990802;C RCUMA MOLIDA BADIA X16OZ;BADIA;T106;Wong Chacarilla;WONG;9;18;WONG CHACARILLA
CENCOSUD.xlsx;35230;COMINO MOLIDO X 1 ONZ   BADIA;BADIA;S001;Supermercado Metro La Molina;METRO;8;25;METRO LA MOLINA
CENCOSUD.xlsx;108881;MEZCLA GOURMET POULTRY SEASO.5.5OZ BADIA;BADIA;T103;Wong Aurora;WONG;2;12;WONG AURORA
CENCOSUD.xlsx;1013260;C RCUMA MOLIDA 8OZ BADIA;BADIA;H014;Hipermercado Metro Plaza Norte;METRO;6;6;METRO PLAZA NORTE
CENCOSUD.xlsx;1001979;MARSHMALLOW ROCKY MOUNTAIN MINI FRU 150G;ROCKY MOUNTAIN;T130;Wong Sol de La Molina;WONG;13;0;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;35244;OREGANO ENTERO X 0.50  ONZ FCO. BADIA;BADIA;S032;Supermercado Metro Faucett;METRO;5;10;METRO FAUCETT
